34.9895,135.8106
35.0084,135.7411
34.8749,135.8115
34.9468,135.7203
34.8571,135.6155
34.9729,135.7257
34.9642,135.677
34.8609,135.6592
34.9496,135.5501
34.9065,135.6399
35.0452,135.5994
35.0592,135.5353
34.9224,135.7737
35.0071,135.6103
34.8782,135.71
34.9098,135.5495
35.0339,135.6697
35.031,135.7776
34.922,135.6935
35.0576,135.6571
34.917,135.61
35.0383,135.6817
34.9669,135.5731
34.8796,135.6326
34.8714,135.7584
34.9062,135.5273
34.9376,135.5446
34.8508,135.6127
34.8375,135.6561
34.8428,135.5405
35.0048,135.7132
34.8787,135.7273
35.0234,135.6084
35.0417,135.7591
35.0629,135.7199
35.0113,135.748
34.8558,135.6485
34.9522,135.6617
35.0381,135.7492
34.9649,135.8036
34.9088,135.656
34.843,135.5382
34.9558,135.7541
35.064,135.7332
34.8691,135.5607
35.0489,135.5153
34.9919,135.6584
35.0104,135.6599
34.9795,135.8123
34.841,135.634
